Species;Higuchi;Iffsc;Leveg
Handroanthus chrysotrichus;;0.547484233;
Handroanthus heptaphyllus;;0.547484233;
Handroanthus pulcherrimus;;0.547484233;
Handroanthus umbellatus;;0.547484233;
Hedyosmum;;0.45;
Hedyosmum brasiliense;;0.45;
Heisteria;;0.724816399;
Heisteria silvianii;;0.724816399;
Helietta;;0.700245328;0.8125
Helietta apiculata;;0.700245328;0.8125
Heliocarpus;;0.389152673;
Heliocarpus popayanensis;;0.389152673;
Hennecartia;;0.588501275;0.66
Hennecartia omphalandra;;0.588501275;0.66
Hieronyma;;0.69;0.69
Hieronyma alchorneoides;;0.69;0.69
Hirtella;;0.72;0.72
Hirtella hebeclada;;0.72;0.72
Holocalyx;;0.55516483;0.859
Holocalyx balansae;;0.55516483;0.859
Hovenia;0.597311568;0.569872358;
Hovenia dulcis;0.597311568;0.569872358;
Huberia;;0.604318113;
Huberia semiserrata;;0.604318113;
Hyeronima;;0.664518652;
Hyeronima alchorneoides;;0.664518652;
Ilex;0.590895079;0.465879583;0.5445
Ilex brevicuspis;;0.465879583;0.54
Ilex dumosa;;0.465879583;0.54
Ilex microdonta;0.704375033;0.465879583;0.498
Ilex paraguariensis;0.451681828;0.496004553;0.6
Ilex pseudobuxus;;0.465879583;
Ilex taubertiana;;0.465879583;
Ilex theezans;0.616628376;0.435754613;
Inga;0.498295185;0.464650693;0.58
Inga edulis;;0.462415374;
Inga edwallii;;0.464650693;
Inga lentiscifolia;0.538919461;0.464650693;
Inga marginata;;0.466886012;0.58
Inga sellowiana;;0.464650693;
Inga sessilis;;0.464650693;
Inga striata;;0.464650693;
Inga subnuda;;0.464650693;
Inga vera;0.521219549;0.464650693;
Inga virescens;0.434746544;0.464650693;
Jacaranda;0.342582983;0.547484233;0.482
Jacaranda micrantha;;0.547484233;0.482
Jacaranda puberula;0.342582983;0.547484233;
Jacaratia;;0.265;
Jacaratia spinosa;;0.265;
Jodina;;0.724936133;
Jodina rhombifolia;;0.724936133;
Kaunia;;0.445812837;
Kaunia rufescens;;0.445812837;
Lafoensia;;0.8;
Lafoensia pacari;;0.8;
Lamanonia;0.510823434;0.474071528;0.52
Lamanonia ternata;0.510823434;0.474071528;0.52
Laplacea;;0.57;
Laplacea fruticosa;;0.57;
Leandra;;0.604318113;
Leandra barbinervis;;0.604318113;
Leandra laevigata;;0.604318113;
Leandra regnellii;;0.604318113;
Leandra salicina;;0.604318113;
Leandra variabilis;;0.604318113;
Leandra xanthocoma;;0.604318113;
Leptolobium;;0.55516483;
Leptolobium elegans;;0.55516483;
Licaria;;0.466206359;
Licaria armeniaca;;0.466206359;
Ligustrum;0.67554697;0.568455985;
Ligustrum lucidum;0.67554697;0.568455985;
Lippia;;0.7;
Lippia alba;;0.7;
Lithraea;0.659645854;0.685515798;
Lithraea brasiliensis;0.659645854;0.685515798;
Lonchocarpus;;0.55516483;0.77
Lonchocarpus cultratus;;0.55516483;0.77
Lonchocarpus nitidus;;0.55516483;
Luehea;0.514340404;0.455970516;0.563
Luehea divaricata;0.514340404;0.455970516;0.563
Luetzelburgia;;0.55516483;
Luetzelburgia guaissara;;0.55516483;
