"","Continent","Country","PlotID","Plot.Code","PlotViewID","Plot.Name","Plot.View.Name","PI","TreeID","Tag.No","Sub.Plot.T1","Sub.Plot.T2","Standardised.SubPlot.T1","X","Y","Standardised.X","Standardised.Y","AllometricRegionID","Family","Genus","Species","Sub.Species","Variety","Original.Identification","Recommended.Family","Recommended.Species","Recommended.Subspecies","Recommended.Variety","FamilyAPGID","GenusID","SpeciesID","SubSpeciesID","Census.No","Census.Date","Voucher.Code","Stem.Group.ID","Main.Stem.Tag","D0","D1","DPOMtMinus1","D2","D3","D4","POM0","POM","F1","F2","F3","F4","Extra.D0","Extra.D","Extra.DPOMtMinus1","Extra.D2","Extra.D3","Extra.D4","Extra.POM0","Extra.POM","Extra.F3","Extra.F4","CI","LI","CF","CD1","CD2","Height","F5","Height.Broken.At","Comments"
"2063","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822085,"66","MF_4.4","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,1,2014.041,NA,0,"",18,18,NA,18,18,18,1300,1300,"0","mr",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2064","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822085,"66","MF_4.4","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,2,2020.2105,NA,0,"",0,0,NA,0,0,0,0,0,"0","aps",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2065","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822065,"42","MF_3.3","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,1,2014.041,NA,0,"",11,11,NA,11,11,11,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1,NA,""
"2066","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822065,"42","MF_3.3","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,2,2020.2105,NA,0,"",0,0,NA,0,0,0,0,0,"0","mr",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2067","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822060,"32","MF_3.1","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,1,2014.041,NA,0,"",12,12,NA,12,12,12,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1,NA,""
"2068","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822060,"32","MF_3.1","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,2,2020.2105,NA,0,"",12,12,NA,12,12,12,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,2.5,1,NA,""
"2069","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822051,"11","MF_1.1","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,1,2014.041,NA,0,"",12,12,NA,12,12,12,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,1,NA,""
"2070","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822051,"11","MF_1.1","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,2,2020.2105,NA,0,"",13,13,NA,13,13,13,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,2.3,1,NA,""
"2071","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822052,"13","MF_1.2","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,1,2014.041,NA,0,"",12,12,NA,12,12,12,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,1,NA,""
"2072","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822052,"13","MF_1.2","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,2,2020.2105,NA,0,"",14,14,NA,14,14,14,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,3,1,NA,""
